title,currency,raw_price,usd_price,listing_url,image_url,fair_value,discount_pct,grade,sources,pricecharting_link,confidence,matched_card,search_term_used
2016 #123 Full Art/Gyarados EX PSA 9 XY Breakpoint Pokemon,SOL,325.0,26653.25,https://collectorcrypt.com/assets/solana/DUK9MDw2axb8ihDxWphM3o3vkvzK6JdZp2BpqwZUY2hS,https://d1xpxki1g4htqu.cloudfront.net/FkQLr-LE8T8P_1D5zbQBNrVAmDYc-btaw_wW2Qt8kl8,152.04,-17430.4,PSA 9,['PriceCharting'],https://www.pricecharting.com/game/pokemon-breakpoint/gyarados-ex-123,0.95,Gyarados EX #123Pokemon BREAKpoint,ex gyarados #123
2014 #68 Pikachu Outbreak! PSA 5 Japanese XY Promo Pokemon,SOL,175.0,14351.75,https://collectorcrypt.com/assets/solana/46vWH3b4wZE7rMof1aRUFKVNN46h6WFcHKQiMN942ECq,https://d1xpxki1g4htqu.cloudfront.net/yZugSnAuCpgtlFWBjK3DJtOZYM2Tvv6FwzaYkgMEecs,95.0,-15007.1,PSA 5,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-promo/pikachu-68xy-p,0.95,Pikachu #68/XY-PPokemon Japanese Promo,pikachu #68
2025 #74 Eevee PSA 10 Pre EN-Prismatic Evolutions Pokemon,SOL,95.0,7790.95,https://collectorcrypt.com/assets/solana/FwwF28dkdAzM3WFDqEGxmy1NnAWFQzW4M74WEHy8e4As,https://d1xpxki1g4htqu.cloudfront.net/7UPKMh7uuiJQS8GjSuhULTbCWwBdDNSDn63m1TTsyK8,6.31,-123369.9,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-korean-eevee-heroes/vaporeon-v-74,0.95,Vaporeon V #74Pokemon Korean Eevee Heroes,v eevee #74
2019 #33 Pikachu &amp; Zekrom GX CGC 8 Team Up - English,SOL,75.0,6150.75,https://collectorcrypt.com/assets/solana/HGEgwkJKJSRWoNQbtGCqkDaDvNod71zBLJgo77EKncUF,https://d1xpxki1g4htqu.cloudfront.net/nCDV2SYuuc2luuLnOCzaontH9FGBA8lSMUGjIEduQ6s,29.64,-20651.5,CGC 8,['PriceCharting'],https://www.pricecharting.com/game/pokemon-team-up/pikachu-&-zekrom-gx-33,0.95,Pikachu & Zekrom GX #33Pokemon Team Up,gx pikachu #33
2023 #067 Umbreon CGC 10 Pristine Japanese SV-P Promo Pokemon,SOL,250.0,20502.5,https://collectorcrypt.com/assets/solana/AnvzEfTDSi3eQSvJuXf1HjuTNwnoGAWuRxMDuREb1JMx,https://d1xpxki1g4htqu.cloudfront.net/1DV9eXI473BXr-BRi_jeEUkUhBRkV8kmM8aGWyzBWxk,163.75,-12420.6,CGC 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-promo/umbreon-nagaba-67sv-p,0.95,Umbreon [Nagaba] #67/SV-PPokemon Japanese Promo,v umbreon #67
2023 #198 Venusaur EX PSA 10 Mew EN-151 Pokemon,SOL,499.0,40922.99,https://collectorcrypt.com/assets/solana/66ctrU4X4LrihtrtfSLaqC3yvXYq2QdeuN3Pq6LaAij9,https://d1xpxki1g4htqu.cloudfront.net/9EMuzAIAGfChBIT5VNPUVFTpUZqB0J3h9NBbc3Mil3E,120.14,-33962.8,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/venusaur-ex-198,0.95,Venusaur ex #198Pokemon Scarlet & Violet 151,ex venusaur #198
2020 #144 Kanazawa's Pikachu PSA 10 Japanese S Promo Pokemon,SOL,380.0,31163.8,https://collectorcrypt.com/assets/solana/4bB5JrHixCg5D69jtq9dcZrSZ8vKWxdj1Sh8dg6MR4jB,https://d1xpxki1g4htqu.cloudfront.net/p7ADeABsqfUBqR43bdaFEVgDYp6vPjs0Mh7chv9nRxg,103.78,-29928.7,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-promo/kanazawa%27s-pikachu-144s-p,0.95,Kanazawa's Pikachu #144/S-PPokemon Japanese Promo,pikachu #144
2025 #013 Mega Charizard X EX PSA 10 Japanese M2-Inferno X Pokemon,SOL,55.0,4510.55,https://collectorcrypt.com/assets/solana/AZ5DhpBfvJobAHG3BLkKxVpjMkqLCsgBaz8tsWG4Zu4c,https://d1xpxki1g4htqu.cloudfront.net/6p7TLiTjYWBNl9tUhnqf67JlPOZoUpoy1qTLVpPM3TM,3.25,-138686.2,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-inferno-x/mega-charizard-x-ex-13,0.95,Mega Charizard X ex #13Pokemon Japanese Inferno X,ex charizard #13
2022 #212 Full Art/Charizard Vstar PSA 8 Japanese Sword & Shield Vstar Universe Pokemon,SOL,69.0,5658.69,https://collectorcrypt.com/assets/solana/9fW8VNcHenfiL9h7xc5LFHLVa5PiSx4JitRA3nzEQHqq,https://d1xpxki1g4htqu.cloudfront.net/dYc1KLAooHtfMeJnC_G-BR8IvkePX3LUHoRyhxWkq0s,69.99,-7985.0,PSA 8,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-vstar-universe/charizard-vstar-212,0.95,Charizard VSTAR #212Pokemon Japanese VSTAR Universe,v charizard #212
2000 #21 Dark Charizard PSA 6 Rocket Pokemon,SOL,62.0,5084.62,https://collectorcrypt.com/assets/solana/3Y8mu8mCq3wfvj5yJBJpwd4B4URe7oLwFDLwKpmtUDnu,https://d1xpxki1g4htqu.cloudfront.net/G1HCNjYGz9QKB928RM6doAOqsGXGMuKmosEOsFlg4NA,52.01,-9676.2,PSA 6,['PriceCharting'],https://www.pricecharting.com/game/pokemon-team-rocket/dark-charizard-21,0.95,Dark Charizard #21Pokemon Team Rocket,charizard #21
